Object_ID	Epoch	Mag	Filter	Survey
Mon-63	56273.5353749	18.588625764589118	g	PanSTARRS
Mon-63	56273.5218651	18.625284380169607	g	PanSTARRS
Mon-63	56658.3722038	18.673345035017146	g	PanSTARRS
Mon-63	56658.3599727	18.692662599287527	g	PanSTARRS
Mon-63	55947.3104166	18.628467005198537	g	PanSTARRS
Mon-63	55947.3230529	18.71126211343929	g	PanSTARRS
Mon-63	55563.5351963	18.570033063883482	g	PanSTARRS
Mon-63	55563.5231157	18.617447857781652	g	PanSTARRS
Mon-63	56273.5615004	17.43878247635558	r	PanSTARRS
Mon-63	56273.5491914	17.43630097280588	r	PanSTARRS
Mon-63	56709.3648864	17.15295545877586	r	PanSTARRS
Mon-63	56709.3579719	17.16542084290031	r	PanSTARRS
Mon-63	55947.3368161	17.412695513244863	r	PanSTARRS
Mon-63	55947.3487424	17.45286045125344	r	PanSTARRS
Mon-63	56581.5810626	17.530678061749143	r	PanSTARRS
Mon-63	56581.5928073	17.503360214656073	r	PanSTARRS
Mon-63	56622.5921362	17.452064791161966	r	PanSTARRS
Mon-63	56622.6023487	17.383188118582744	r	PanSTARRS
Mon-63	55858.6155957	17.410663927286087	r	PanSTARRS
Mon-63	55858.6211627	17.421274414804316	r	PanSTARRS
Mon-63	56228.620783	16.284374112827674	i	PanSTARRS
Mon-63	56228.6084141	16.29226928551383	i	PanSTARRS
Mon-63	56668.3769754	16.280136836976425	i	PanSTARRS
Mon-63	55968.2822307	16.243121979452475	i	PanSTARRS
Mon-63	55951.3193281	16.24293407261491	i	PanSTARRS
Mon-63	56351.2776579	16.29779868879598	i	PanSTARRS
Mon-63	56351.2638952	16.289265126343288	i	PanSTARRS
Mon-63	56613.5082459	16.26578535660976	i	PanSTARRS
Mon-63	55875.5174679	16.239295122239092	i	PanSTARRS
Mon-63	55875.5048795	16.25907090588619	i	PanSTARRS
Mon-63	56227.5687677	15.76311554423923	z	PanSTARRS
Mon-63	56227.5571229	15.740797957781433	z	PanSTARRS
Mon-63	56013.2485524	15.6804717883394	z	PanSTARRS
Mon-63	56013.2369742	15.672126575998364	z	PanSTARRS
Mon-63	55483.6481343	15.688481291387742	z	PanSTARRS
Mon-63	55483.6365133	15.69940526747276	z	PanSTARRS
Mon-63	55256.3174837	15.727176717250844	z	PanSTARRS
Mon-63	55256.3073439	15.70256463022292	z	PanSTARRS
Mon-63	55821.6253577	15.700590378281625	z	PanSTARRS
Mon-63	55903.4979233	15.683930035831679	z	PanSTARRS
Mon-63	55903.5100187	15.676739987413562	z	PanSTARRS
Mon-63	55821.6364914	15.71313012726538	z	PanSTARRS
Mon-63	55491.5743332	15.415259381870428	y	PanSTARRS
Mon-63	55491.5854522	15.405610862294068	y	PanSTARRS
Mon-63	56215.6488861	15.431577712612377	y	PanSTARRS
Mon-63	56215.6436579	15.447566841239798	y	PanSTARRS
Mon-63	56770.2370693	15.456936582672425	y	PanSTARRS
Mon-63	55997.2163722	15.39188672065957	y	PanSTARRS
Mon-63	55997.2274442	15.394167052254177	y	PanSTARRS
Mon-63	56355.2176699	15.395711488871575	y	PanSTARRS
Mon-63	56355.2237562	15.389046262376453	y	PanSTARRS
Mon-63	55242.2435989	15.455998758782057	y	PanSTARRS
Mon-63	55242.2520854	15.458139756041243	y	PanSTARRS
Mon-63	55491.5280639	15.394962685108505	y	PanSTARRS
Mon-63	55491.5392193	15.388828011778886	y	PanSTARRS
Mon-63	55846.5931062	15.416956994471814	y	PanSTARRS
Mon-63	55846.6050865	15.406475768928647	y	PanSTARRS
Mon-63	55242.2531537	15.462333842774994	y	PanSTARRS
Mon-63	55242.2446843	15.433907428233866	y	PanSTARRS
Mon-63	58204.1331134	18.74911117553711	g	ZTF
Mon-63	58204.1785532	18.83476448059082	g	ZTF
Mon-63	58205.2237963	18.80474853515625	g	ZTF
Mon-63	58206.1310301	18.89142417907715	g	ZTF
Mon-63	58206.1700579	18.76834487915039	g	ZTF
Mon-63	58206.2411458	18.8183536529541	g	ZTF
Mon-63	58207.1926968	18.837444305419922	g	ZTF
Mon-63	58207.1967361	18.722585678100586	g	ZTF
Mon-63	58207.2403241	18.626605987548828	g	ZTF
Mon-63	58210.1800347	18.649734497070312	g	ZTF
Mon-63	58210.2429514	18.428186416625977	g	ZTF
Mon-63	58215.2266782	18.266103744506836	g	ZTF
Mon-63	58216.2030208	18.645294189453125	g	ZTF
Mon-63	58231.1941204	18.78873634338379	g	ZTF
Mon-63	58234.1657176	18.75586700439453	g	ZTF
Mon-63	58235.158206	18.56532859802246	g	ZTF
Mon-63	58236.1567824	18.802907943725586	g	ZTF
Mon-63	58361.4630208	18.927799224853516	g	ZTF
Mon-63	58367.4749653	18.74318504333496	g	ZTF
Mon-63	58368.5042708	18.7707462310791	g	ZTF
Mon-63	58369.4864236	18.810928344726562	g	ZTF
Mon-63	58370.4764468	18.830629348754883	g	ZTF
Mon-63	58371.5184259	18.878673553466797	g	ZTF
Mon-63	58372.4752894	18.866544723510742	g	ZTF
Mon-63	58373.5174884	18.72406768798828	g	ZTF
Mon-63	58374.4751042	18.887195587158203	g	ZTF
Mon-63	58375.4647801	18.777616500854492	g	ZTF
Mon-63	58376.4851736	18.817543029785156	g	ZTF
Mon-63	58377.5038194	18.850648880004883	g	ZTF
Mon-63	58378.4952662	18.81344223022461	g	ZTF
Mon-63	58379.4973032	18.851272583007812	g	ZTF
Mon-63	58380.5180093	18.751007080078125	g	ZTF
Mon-63	58382.4772106	18.841094970703125	g	ZTF
Mon-63	58383.4985764	18.84844207763672	g	ZTF
Mon-63	58384.4316782	18.903564453125	g	ZTF
Mon-63	58384.4842361	18.682910919189453	g	ZTF
Mon-63	58385.4976389	18.841638565063477	g	ZTF
Mon-63	58386.5027778	18.866891860961914	g	ZTF
Mon-63	58387.517037	18.85652732849121	g	ZTF
Mon-63	58388.4625926	18.822221755981445	g	ZTF
